row,title,doi,status,detail
2,"A mechanistic model of connector hubs, modularity and cognition",https://doi.org/10.1038/s41562-018-0420-6,paper_downloaded,already present
3,A Modular Organization of LRR Protein-Mediated Synaptic Adhesion Defines Synapse Identity.,https://doi.org/10.1016/j.neuron.2018.06.026,abstract_downloaded,already present
4,A multi-objective ant colony optimization algorithm for community detection in complex networks,https://doi.org/10.1007/s12652-018-1159-7,no_content_found,DOI resolves but no OA PDF or abstract was found
5,A network of human functional gene interactions from knockout fitness screens in cancer cells,https://doi.org/10.26508/lsa.201800278,paper_downloaded,already present
6,Arabidopsis GCN2 kinase contributes to ABA homeostasis and stomatal immunity,https://doi.org/10.1038/s42003-019-0544-x,paper_downloaded,already present
7,Artificial intelligence in cancer target identification and drug discovery,https://doi.org/10.1038/s41392-022-00994-0,paper_downloaded,already present
8,Autonomous inference of complex network dynamics from incomplete and noisy data,https://doi.org/10.1038/s43588-022-00217-0,paper_downloaded,already present
9,Biomimetic Supramolecular Polymer Networks Exhibiting both Toughness and Self‐Recovery,https://doi.org/10.1002/adma.201604951,abstract_downloaded,already present
10,Characterizing Endogenous Protein Complexes with Biological Mass Spectrometry,https://doi.org/10.1021/acs.chemrev.1c00217,abstract_downloaded,already present
11,Differential gene regulatory networks in development and disease,https://doi.org/10.1007/s00018-017-2679-6,no_content_found,DOI resolves but no OA PDF or abstract was found
12,Emergent Hyperbolic Network Geometry,https://doi.org/10.1038/srep41974,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1038_srep41974.txt
13,EMT Factors and Metabolic Pathways in Cancer,https://doi.org/10.3389/fonc.2020.00499,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.3389_fonc.2020.00499.pdf
14,Endosome and Golgi‐associated degradation (EGAD) of membrane proteins regulates sphingolipid metabolism,https://doi.org/10.15252/embj.2018101433,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.15252_embj.2018101433.pdf
15,ESCRT-III is required for scissioning new peroxisomes from the endoplasmic reticulum,https://doi.org/10.1083/jcb.201706044,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1083_jcb.201706044.txt
16,Explainability in Graph Neural Networks: A Taxonomic Survey,https://doi.org/10.1109/TPAMI.2022.3204236,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1109_TPAMI.2022.3204236.txt
17,Genetic analysis of the Candida albicans biofilm transcription factor network using simple and complex haploinsufficiency,https://doi.org/10.1371/journal.pgen.1006948,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1371_journal.pgen.1006948.pdf
18,mitch: multi-contrast pathway enrichment for multi-omics and single-cell profiling data,https://doi.org/10.1186/s12864-020-06856-9,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1186_s12864-020-06856-9.pdf
19,ModelBricks — Modules for Reproducible Modeling Improving Model Annotation and Provenance,https://doi.org/10.1038/s41540-019-0117-x,invalid_doi,DOI does not resolve via Crossref
20,"mRNAs, proteins and the emerging principles of gene expression control",https://doi.org/10.1038/s41576-020-0258-4,no_content_found,DOI resolves but no OA PDF or abstract was found
21,Parcellating connectivity in spatial maps,https://doi.org/10.7717/peerj.784,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.7717_peerj.784.txt
22,Reactome pathway analysis: a high-performance in-memory approach,https://doi.org/10.1186/s12859-017-1559-2,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1186_s12859-017-1559-2.pdf
23,Reverse Engineering of Biological Complexity,https://doi.org/10.1126/science.1069981,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1126_science.1069981.txt
24,Spectral properties of complex networks.,https://doi.org/10.1063/1.5040897,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1063_1.5040897.pdf
25,Spontaneous Evolution of Modularity and Network Motifs,https://doi.org/10.1073/pnas.0503610102,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1073_pnas.0503610102.txt
26,Suppression of Enhancer Overactivation by a RACK7-Histone Demethylase Complex,https://doi.org/10.1016/j.cell.2016.02.064,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.cell.2016.02.064.txt
27,The Evolutionary Origins of Modularity,https://doi.org/10.1098/rspb.2012.2863,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1098_rspb.2012.2863.txt
28,The Mammalian MAPK/ERK Pathway Exhibits Properties of a Negative Feedback Amplifier,https://doi.org/10.1126/scisignal.2001212,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1126_scisignal.2001212.txt
29,Toward heterogeneous information fusion: bipartite graph convolutional networks for in silico drug repurposing,https://doi.org/10.1093/bioinformatics/btaa437,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1093_bioinformatics_btaa437.txt
30,Use of Graph Database for the Integration of Heterogeneous Biological Data,https://doi.org/10.5808/GI.2017.15.1.19,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.5808_GI.2017.15.1.19.pdf
31,Winner-takes-all resource competition redirects cascading cell fate transitions,https://doi.org/10.1038/s41467-021-21125-3,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s41467-021-21125-3.pdf
32,‘Z4’ Complex Member Fusions in NUT Carcinoma: Implications for a Novel Oncogenic Mechanism,https://doi.org/10.1158/1541-7786.MCR-18-0474,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1158_1541-7786.MCR-18-0474.txt
33,A Cell-Based Systems Biology Assessment of Human Blood to Monitor Immune Responses after Influenza Vaccination,https://doi.org/10.1371/journal.pone.0118528,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1371_journal.pone.0118528.pdf
34,A census of pathway maps in cancer systems biology,https://doi.org/10.1038/s41568-020-0240-7,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1038_s41568-020-0240-7.txt
35,A community-based transcriptomics classification and nomenclature of neocortical cell types,https://doi.org/10.1038/s41593-020-0685-8,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s41593-020-0685-8.pdf
36,A Compendium of Genetic Modifiers of Mitochondrial Dysfunction Reveals Intra-Organelle Buffering,https://doi.org/10.1016/j.cell.2019.10.032,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.cell.2019.10.032.txt
37,A Complex Systems Approach to Aging Biology,https://doi.org/10.1038/s43587-022-00252-6,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s43587-022-00252-6.pdf
38,"A comprehensive analysis of coregulator recruitment, androgen receptor function and gene expression in prostate cancer",https://doi.org/10.7554/eLife.28482,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.7554_eLife.28482.txt
39,A comprehensive clinically informed map of dependencies in cancer cells and framework for target prioritization.,https://doi.org/10.1016/j.ccell.2023.12.016,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.ccell.2023.12.016.txt
40,A Comprehensive Survey on Community Detection With Deep Learning,https://doi.org/10.1109/TNNLS.2021.3137396,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1109_TNNLS.2021.3137396.pdf
41,A conserved and regulated mechanism drives endosomal Rab transition,https://doi.org/10.7554/eLife.56090,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.7554_eLife.56090.txt
42,A Disinhibitory Circuit Motif and Flexible Information Routing in the Brain,https://doi.org/10.1016/j.conb.2018.01.002,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.conb.2018.01.002.txt
43,A Double Negative Feedback Loop between mTORC1 and AMPK Kinases Guarantees Precise Autophagy Induction upon Cellular Stress,https://doi.org/10.3390/ijms20225543,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.3390_ijms20225543.txt
44,A Dynamical Paradigm for Molecular Cell Biology,https://doi.org/10.1016/j.tcb.2020.04.002,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.tcb.2020.04.002.txt
45,A feedback loop of conditionally stable circuits drives the cell cycle from checkpoint to checkpoint,https://doi.org/10.1038/s41598-019-52725-1,paper_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/papers/10.1038_s41598-019-52725-1.pdf
46,A folded conformation of MukBEF and cohesin,https://doi.org/10.1038/s41594-019-0196-z,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1038_s41594-019-0196-z.txt
47,A genetic mammalian proportional–integral feedback control circuit for robust and precise gene regulation,https://doi.org/10.1073/pnas.2122132119,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1073_pnas.2122132119.txt
48,A Genetic Model of the Connectome,https://doi.org/10.1016/j.neuron.2019.10.031,abstract_downloaded,saved /Users/jlheller/home/Technical/repos/ModularitySurvey/db/abstracts/10.1016_j.neuron.2019.10.031.txt
